@relation final_data

@attribute '         AGE' numeric
@attribute '     GENDER' {male,female}
@attribute '    HOUSING ' {own,free,rent}
@attribute ' CREDIT AMOUNT' numeric
@attribute ' PURPOSE' {radio/TV,education,furniture/equipment,car,business,'domestic appliances',repairs,vacation/others}
@attribute ' CLASS' {good,bad}
@attribute '  CREDIT HISTORY ' {'Critical/other credits existing','Existing paid','Delayed previously','No credits/all paid ','All paid'}
@attribute '       JOB' {Skilled,'Unskilled- Resident',Self-employed,'Unskilled- Non resident'}

@data
36,male,own,1374,furniture/equipment,good,'Existing paid','Unskilled- Resident'
39,male,own,426,radio/TV,good,'No credits/all paid ','Unskilled- Resident'
42,female,rent,409,radio/TV,good,'All paid',Skilled
34,male,own,2415,radio/TV,good,'Existing paid',Skilled
63,male,own,6836,business,bad,'Delayed previously',Skilled
36,male,own,1913,business,good,'Existing paid',Skilled
27,male,own,4020,furniture/equipment,good,'Existing paid',Skilled
30,male,own,5866,car,good,'Existing paid',Skilled
57,male,rent,1264,business,good,'Critical/other credits existing','Unskilled- Resident'
33,female,own,1474,furniture/equipment,good,'Existing paid',Self-employed
25,male,own,4746,radio/TV,bad,'Critical/other credits existing','Unskilled- Resident'
31,male,free,6110,education,good,'Critical/other credits existing',Skilled
37,male,own,2100,radio/TV,bad,'Existing paid',Skilled
37,male,own,1225,'domestic appliances',good,'Existing paid',Skilled
24,male,own,458,radio/TV,good,'Existing paid',Skilled
30,male,own,2333,radio/TV,good,'Existing paid',Self-employed
26,male,own,1158,radio/TV,good,'Existing paid',Skilled
44,male,own,6204,repairs,good,'Delayed previously','Unskilled- Resident'
24,male,rent,6187,car,good,'Critical/other credits existing',Skilled
58,female,free,6143,car,bad,'Critical/other credits existing','Unskilled- Resident'
35,female,own,1393,car,good,'Critical/other credits existing',Self-employed
39,male,own,2299,radio/TV,good,'Existing paid',Skilled
23,female,rent,1352,car,good,'Existing paid','Unskilled- Non resident'
39,male,own,7228,car,good,'Critical/other credits existing','Unskilled- Resident'
28,female,own,2073,radio/TV,good,'Existing paid',Skilled
29,male,own,2333,furniture/equipment,good,'Delayed previously','Unskilled- Resident'
30,male,own,5965,car,good,'Delayed previously',Self-employed
25,male,own,1262,radio/TV,good,'Existing paid',Skilled
31,male,own,3378,car,good,'Existing paid',Skilled
57,male,free,2225,car,bad,'Delayed previously',Skilled
26,male,own,783,car,good,'All paid','Unskilled- Resident'
52,male,own,6468,radio/TV,bad,'Existing paid',Self-employed
31,female,own,9566,radio/TV,good,'Critical/other credits existing',Skilled
23,female,own,1961,car,good,'Existing paid',Self-employed
23,female,rent,6229,furniture/equipment,bad,'Critical/other credits existing','Unskilled- Resident'
27,male,own,1391,business,good,'Existing paid',Skilled
50,male,own,1537,radio/TV,good,'Critical/other credits existing',Skilled
61,male,free,1953,business,bad,'No credits/all paid ',Self-employed
25,male,own,14421,business,bad,'No credits/all paid ',Skilled
26,female,own,3181,radio/TV,good,'Existing paid',Skilled
48,male,own,5190,repairs,good,'Existing paid',Skilled
29,female,own,2171,radio/TV,good,'Existing paid',Skilled
22,male,own,1007,car,good,'Existing paid',Skilled
37,male,free,1819,education,bad,'Existing paid',Skilled
25,female,own,2394,radio/TV,good,'Existing paid',Skilled
30,female,own,8133,car,good,'Existing paid',Skilled
46,male,rent,730,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
51,male,free,1164,vacation/others,good,'Critical/other credits existing',Self-employed
41,female,own,5954,business,good,'Critical/other credits existing','Unskilled- Resident'
40,male,own,1977,education,bad,'Existing paid',Self-employed
66,male,free,1526,car,good,'Critical/other credits existing',Self-employed
34,male,own,3965,radio/TV,bad,'Existing paid',Skilled
51,male,own,4771,radio/TV,good,'Delayed previously',Skilled
39,male,own,9436,car,good,'No credits/all paid ','Unskilled- Resident'
22,male,own,3832,furniture/equipment,good,'Existing paid',Skilled
44,female,own,5943,radio/TV,bad,'Existing paid',Skilled
47,male,own,1213,radio/TV,good,'Existing paid',Skilled
24,female,rent,1568,business,good,'Existing paid','Unskilled- Resident'
58,female,own,1755,vacation/others,good,'Existing paid','Unskilled- Resident'
52,male,own,2315,radio/TV,good,'Existing paid','Unskilled- Resident'
29,female,own,1412,business,good,'Critical/other credits existing',Self-employed
27,female,own,1295,furniture/equipment,good,'Critical/other credits existing',Skilled
47,male,free,12612,education,bad,'Existing paid',Skilled
30,male,own,2249,car,good,'Existing paid',Self-employed
28,male,own,1108,repairs,bad,'No credits/all paid ',Skilled
56,male,own,618,radio/TV,good,'Critical/other credits existing',Skilled
54,male,own,1409,car,good,'Critical/other credits existing',Skilled
33,female,own,797,radio/TV,bad,'Critical/other credits existing','Unskilled- Resident'
20,male,rent,3617,furniture/equipment,good,'Critical/other credits existing',Skilled
54,male,own,1318,car,good,'Existing paid',Skilled
58,male,rent,15945,business,bad,'No credits/all paid ',Skilled
61,female,own,2012,education,good,'Critical/other credits existing',Skilled
34,male,own,2622,business,good,'Existing paid',Skilled
36,male,own,2337,radio/TV,good,'Critical/other credits existing',Skilled
36,male,rent,7057,car,good,'Delayed previously',Self-employed
41,male,rent,1469,car,good,'Existing paid','Unskilled- Resident'
24,male,rent,2323,radio/TV,good,'Existing paid',Skilled
24,female,own,932,radio/TV,good,'Delayed previously',Skilled
35,male,rent,1919,furniture/equipment,good,'Critical/other credits existing',Skilled
26,male,rent,2445,car,good,'Existing paid',Skilled
39,male,own,11938,vacation/others,bad,'Critical/other credits existing',Self-employed
39,male,own,6458,car,bad,'All paid',Self-employed
32,male,own,6078,car,good,'Existing paid',Skilled
30,female,own,7721,furniture/equipment,good,'Existing paid',Skilled
35,male,own,1410,business,good,'Existing paid',Skilled
31,male,own,1449,business,good,'Delayed previously',Skilled
23,female,rent,392,education,good,'Existing paid',Skilled
28,male,rent,6260,car,good,'Existing paid','Unskilled- Resident'
25,female,own,7855,car,bad,'Critical/other credits existing',Skilled
35,male,own,1680,radio/TV,good,'Existing paid',Skilled
47,male,own,3578,radio/TV,good,'Critical/other credits existing',Skilled
30,female,own,7174,radio/TV,bad,'Existing paid',Self-employed
27,female,rent,2132,furniture/equipment,good,'Critical/other credits existing',Skilled
23,female,own,4281,furniture/equipment,bad,'Critical/other credits existing',Skilled
36,male,own,2366,car,good,'Critical/other credits existing',Self-employed
25,female,own,1835,radio/TV,bad,'Existing paid',Skilled
41,female,rent,3868,car,good,'Critical/other credits existing',Self-employed
24,male,rent,1768,furniture/equipment,good,'Existing paid','Unskilled- Resident'
63,male,free,781,car,good,'Critical/other credits existing',Skilled
27,female,rent,1924,furniture/equipment,bad,'Existing paid',Skilled
30,male,own,2121,car,good,'Critical/other credits existing',Skilled
40,male,own,701,radio/TV,good,'Existing paid','Unskilled- Resident'
30,male,own,639,repairs,bad,'Existing paid',Skilled
34,male,own,1860,car,good,'Critical/other credits existing',Self-employed
29,female,own,3499,car,bad,'Critical/other credits existing',Skilled
24,female,own,8487,car,good,'Existing paid',Skilled
29,male,own,6887,education,bad,'Delayed previously',Skilled
27,male,own,2708,furniture/equipment,good,'Existing paid','Unskilled- Resident'
47,male,free,1984,furniture/equipment,good,'Existing paid',Skilled
21,female,own,10144,radio/TV,good,'Existing paid',Skilled
38,female,own,1240,radio/TV,good,'Critical/other credits existing',Skilled
27,male,own,8613,car,good,'Delayed previously',Skilled
66,male,own,766,radio/TV,bad,'Existing paid','Unskilled- Resident'
35,male,own,2728,radio/TV,good,'Critical/other credits existing',Skilled
44,female,rent,1881,radio/TV,good,'Existing paid','Unskilled- Resident'
27,male,own,709,car,good,'Existing paid','Unskilled- Non resident'
30,female,own,4795,radio/TV,good,'Existing paid',Self-employed
27,male,own,3416,radio/TV,good,'Existing paid',Self-employed
22,male,own,2462,furniture/equipment,bad,'Existing paid',Skilled
23,female,own,2288,furniture/equipment,good,'Critical/other credits existing',Skilled
30,male,own,3566,business,good,'All paid',Skilled
39,female,own,860,car,good,'Critical/other credits existing',Skilled
51,female,own,682,car,good,'Critical/other credits existing',Skilled
28,male,own,5371,furniture/equipment,good,'Critical/other credits existing',Skilled
46,male,own,1582,radio/TV,good,'Critical/other credits existing',Skilled
42,male,free,1346,radio/TV,good,'Existing paid',Skilled
38,male,own,1924,radio/TV,good,'Existing paid',Skilled
24,male,own,5848,radio/TV,good,'Existing paid',Skilled
29,female,rent,7758,car,good,'Critical/other credits existing',Skilled
36,male,rent,6967,business,good,'Delayed previously',Self-employed
20,female,rent,1282,furniture/equipment,bad,'Existing paid',Skilled
48,male,own,1288,repairs,good,'Critical/other credits existing',Skilled
45,male,own,339,education,good,'All paid','Unskilled- Resident'
38,male,own,3512,car,good,'Existing paid',Skilled
34,male,own,1898,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
36,male,own,2872,radio/TV,good,'Critical/other credits existing',Skilled
30,female,own,1055,car,good,'Critical/other credits existing',Skilled
36,male,own,1262,'domestic appliances',good,'Existing paid',Skilled
70,male,free,7308,car,good,'Existing paid',Self-employed
36,male,own,909,car,good,'Existing paid',Skilled
32,male,own,2978,furniture/equipment,good,'Existing paid',Skilled
33,female,own,1131,furniture/equipment,bad,'Existing paid',Skilled
20,female,own,1577,furniture/equipment,good,'Existing paid',Skilled
25,female,rent,3972,furniture/equipment,good,'Existing paid',Skilled
31,male,own,1935,business,bad,'Critical/other credits existing',Skilled
33,male,rent,950,car,bad,'No credits/all paid ',Skilled
26,female,own,763,furniture/equipment,good,'Existing paid',Skilled
34,female,own,2064,furniture/equipment,bad,'Delayed previously',Self-employed
33,male,own,1414,radio/TV,good,'Existing paid',Skilled
26,male,own,3414,education,bad,'Delayed previously',Skilled
53,female,own,7485,car,bad,'All paid',Self-employed
42,male,own,2577,furniture/equipment,good,'Existing paid',Skilled
52,male,own,338,radio/TV,good,'Critical/other credits existing',Skilled
31,male,rent,1963,radio/TV,good,'Existing paid',Self-employed
65,male,own,571,car,good,'Critical/other credits existing',Skilled
28,male,own,9572,business,bad,'Delayed previously',Skilled
30,male,own,4455,business,bad,'Delayed previously',Self-employed
40,male,own,1647,car,bad,'All paid','Unskilled- Resident'
50,male,own,3777,furniture/equipment,good,'Critical/other credits existing',Skilled
36,male,own,884,car,bad,'Critical/other credits existing',Skilled
31,male,own,1360,radio/TV,good,'Critical/other credits existing',Skilled
74,female,free,5129,car,bad,'All paid',Self-employed
68,male,free,1175,car,good,'Critical/other credits existing','Unskilled- Non resident'
20,male,own,674,radio/TV,bad,'Existing paid',Skilled
33,female,own,3244,furniture/equipment,good,'No credits/all paid ',Skilled
54,male,own,4591,business,bad,'Existing paid',Self-employed
34,male,free,3844,business,bad,'No credits/all paid ','Unskilled- Resident'
36,male,own,3915,business,bad,'Existing paid',Skilled
29,male,rent,2108,radio/TV,good,'Existing paid',Skilled
21,male,rent,3031,radio/TV,bad,'Existing paid',Skilled
34,female,own,1501,education,bad,'Critical/other credits existing',Self-employed
28,female,own,1382,radio/TV,good,'Critical/other credits existing',Skilled
27,female,rent,951,furniture/equipment,bad,'Existing paid',Skilled
36,male,free,2760,car,good,'Existing paid',Skilled
40,male,own,4297,furniture/equipment,bad,'Delayed previously',Self-employed
52,male,own,936,education,good,'Critical/other credits existing',Skilled
27,male,own,1168,car,good,'Existing paid','Unskilled- Resident'
26,male,own,5117,business,good,'Delayed previously',Skilled
21,male,rent,902,education,bad,'Existing paid',Skilled
38,male,own,1495,car,good,'Critical/other credits existing','Unskilled- Resident'
38,male,free,10623,car,good,'Critical/other credits existing',Self-employed
43,male,own,1935,furniture/equipment,good,'Critical/other credits existing',Skilled
26,male,own,1424,'domestic appliances',good,'Critical/other credits existing',Skilled
21,male,own,6568,business,good,'Existing paid','Unskilled- Resident'
55,male,own,1413,car,good,'Existing paid',Skilled
33,male,own,3074,radio/TV,good,'Critical/other credits existing',Skilled
45,female,own,3835,radio/TV,good,'Existing paid','Unskilled- Resident'
50,male,own,5293,business,bad,'No credits/all paid ',Skilled
66,male,own,1908,business,bad,'Delayed previously',Self-employed
51,male,own,3342,radio/TV,good,'Critical/other credits existing',Skilled
39,female,own,932,education,good,'Critical/other credits existing','Unskilled- Resident'
31,male,own,3104,business,good,'No credits/all paid ',Skilled
23,male,own,3913,radio/TV,good,'Existing paid',Skilled
24,male,rent,3021,furniture/equipment,good,'Existing paid','Unskilled- Resident'
64,female,own,1364,car,good,'Existing paid',Skilled
26,male,own,625,radio/TV,good,'Existing paid','Unskilled- Resident'
23,female,rent,1200,education,good,'Existing paid',Skilled
30,male,own,707,radio/TV,good,'Existing paid',Skilled
32,male,own,2978,business,good,'Delayed previously',Skilled
30,male,own,4657,car,good,'Existing paid',Skilled
27,male,own,2613,repairs,good,'No credits/all paid ',Skilled
27,male,own,10961,radio/TV,bad,'Existing paid',Skilled
53,male,free,7865,furniture/equipment,bad,'Existing paid',Self-employed
22,male,own,1478,radio/TV,bad,'Existing paid',Skilled
22,male,free,3149,furniture/equipment,good,'Existing paid',Skilled
26,male,own,4210,radio/TV,bad,'Existing paid',Skilled
51,male,free,2507,car,good,'Existing paid','Unskilled- Resident'
35,male,own,2141,radio/TV,good,'Existing paid',Skilled
25,male,own,866,radio/TV,good,'Existing paid','Unskilled- Resident'
42,male,own,1544,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
30,male,own,1823,radio/TV,bad,'Existing paid',Self-employed
23,male,own,14555,car,bad,'Existing paid','Unskilled- Non resident'
61,male,rent,2767,business,bad,'Existing paid','Unskilled- Resident'
35,female,own,1291,radio/TV,good,'Critical/other credits existing',Skilled
39,male,own,2522,radio/TV,good,'Existing paid',Skilled
29,female,own,915,car,bad,'Existing paid',Skilled
51,male,own,1595,radio/TV,good,'Existing paid',Skilled
24,male,free,4605,car,bad,'No credits/all paid ',Skilled
27,female,own,1185,business,good,'Critical/other credits existing',Skilled
35,female,own,3447,education,good,'All paid','Unskilled- Resident'
25,male,own,1258,business,good,'Existing paid',Skilled
52,male,own,717,radio/TV,good,'Critical/other credits existing',Skilled
35,male,rent,1204,car,good,'No credits/all paid ',Skilled
26,male,own,1925,furniture/equipment,good,'Existing paid',Skilled
22,female,rent,433,radio/TV,bad,'Existing paid',Skilled
39,female,own,666,car,good,'Critical/other credits existing','Unskilled- Resident'
46,female,own,2251,furniture/equipment,good,'Existing paid','Unskilled- Resident'
24,female,own,2150,car,bad,'Existing paid',Skilled
35,male,own,4151,furniture/equipment,good,'Delayed previously',Skilled
24,male,own,2030,furniture/equipment,good,'Existing paid',Skilled
27,male,own,7418,radio/TV,good,'Delayed previously','Unskilled- Resident'
35,male,own,2684,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
29,male,free,2149,radio/TV,bad,'All paid',Skilled
23,female,own,3812,car,good,'Existing paid',Skilled
57,female,own,1154,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
27,male,own,1657,furniture/equipment,good,'Existing paid',Skilled
55,female,own,1603,radio/TV,good,'Existing paid',Skilled
36,male,free,5302,car,good,'Critical/other credits existing',Self-employed
57,female,free,2748,education,good,'Critical/other credits existing','Unskilled- Resident'
32,male,own,1231,car,good,'Critical/other credits existing','Unskilled- Resident'
37,male,own,802,radio/TV,bad,'Existing paid',Skilled
36,male,own,6304,business,good,'Critical/other credits existing',Skilled
38,female,own,1533,radio/TV,good,'Existing paid',Skilled
45,male,own,8978,car,bad,'Existing paid',Self-employed
25,male,own,999,radio/TV,good,'Existing paid',Skilled
32,male,own,2662,car,good,'Existing paid',Skilled
37,female,rent,1402,furniture/equipment,good,'Critical/other credits existing',Skilled
36,male,free,12169,car,good,'All paid',Self-employed
28,male,own,3060,radio/TV,bad,'Existing paid',Skilled
34,male,own,11998,repairs,bad,'Existing paid','Unskilled- Resident'
32,male,own,2697,radio/TV,good,'Existing paid',Skilled
26,female,own,2404,radio/TV,good,'Critical/other credits existing',Skilled
49,male,own,1262,furniture/equipment,good,'Existing paid','Unskilled- Resident'
32,female,own,4611,furniture/equipment,bad,'Existing paid',Skilled
29,male,rent,1901,radio/TV,good,'Existing paid',Self-employed
23,male,rent,3368,car,good,'Critical/other credits existing',Skilled
50,male,own,1574,furniture/equipment,good,'Existing paid',Skilled
49,male,own,1445,radio/TV,good,'All paid','Unskilled- Resident'
63,male,own,1520,furniture/equipment,good,'Critical/other credits existing',Skilled
37,male,own,3878,car,good,'Critical/other credits existing',Skilled
35,female,own,10722,car,good,'Existing paid','Unskilled- Resident'
26,male,own,4788,car,good,'Existing paid',Skilled
31,male,free,7582,vacation/others,good,'Delayed previously',Self-employed
49,female,own,1092,radio/TV,good,'Existing paid',Skilled
48,male,own,1024,radio/TV,bad,'Delayed previously',Skilled
26,male,own,1076,business,good,'Existing paid',Skilled
28,male,rent,9398,car,bad,'Existing paid',Self-employed
44,female,free,6419,car,good,'Critical/other credits existing',Self-employed
56,male,free,4796,car,good,'Critical/other credits existing',Skilled
46,male,own,7629,business,good,'Critical/other credits existing',Self-employed
26,female,own,9960,furniture/equipment,bad,'Existing paid',Skilled
20,female,rent,4675,car,good,'Existing paid',Skilled
45,male,own,1287,car,good,'Existing paid','Unskilled- Resident'
43,male,own,2515,furniture/equipment,good,'Existing paid',Skilled
32,male,own,2745,furniture/equipment,good,'Critical/other credits existing',Skilled
54,female,own,672,car,good,'Existing paid','Unskilled- Non resident'
42,female,own,3804,radio/TV,bad,'No credits/all paid ',Skilled
37,male,own,1344,car,bad,'Critical/other credits existing','Unskilled- Resident'
49,male,own,1038,car,good,'Critical/other credits existing',Skilled
44,male,free,10127,car,bad,'Critical/other credits existing',Skilled
33,male,own,1543,furniture/equipment,good,'Existing paid',Skilled
24,female,rent,4811,car,good,'Existing paid','Unskilled- Resident'
33,male,own,727,radio/TV,bad,'Existing paid','Unskilled- Resident'
24,female,own,1237,furniture/equipment,bad,'Existing paid',Skilled
22,male,rent,276,car,good,'Existing paid','Unskilled- Resident'
40,male,free,5381,vacation/others,good,'Existing paid','Unskilled- Non resident'
25,male,own,5511,furniture/equipment,good,'Existing paid',Skilled
26,female,own,3749,furniture/equipment,good,'Existing paid',Skilled
25,male,own,685,car,bad,'Existing paid','Unskilled- Resident'
29,male,own,1494,car,good,'Existing paid','Unskilled- Resident'
31,male,own,2746,furniture/equipment,bad,'All paid',Skilled
38,male,own,708,furniture/equipment,good,'Existing paid','Unskilled- Resident'
48,female,own,4351,furniture/equipment,good,'Existing paid','Unskilled- Resident'
32,male,own,701,education,good,'Critical/other credits existing',Skilled
27,female,own,3643,furniture/equipment,good,'Delayed previously','Unskilled- Resident'
28,male,own,4249,car,bad,'Critical/other credits existing',Self-employed
32,male,own,1938,radio/TV,bad,'Existing paid',Skilled
34,male,free,2910,car,good,'Existing paid',Self-employed
28,male,own,2659,furniture/equipment,good,'Existing paid',Skilled
36,female,own,1028,car,good,'Critical/other credits existing',Skilled
39,male,own,3398,car,good,'Critical/other credits existing','Unskilled- Resident'
49,male,rent,5801,furniture/equipment,good,'Critical/other credits existing',Skilled
34,female,own,1525,car,good,'Existing paid',Skilled
31,male,own,4473,radio/TV,good,'Existing paid',Skilled
28,male,own,1068,radio/TV,good,'Existing paid',Skilled
75,male,free,6615,car,good,'Critical/other credits existing',Self-employed
30,female,own,1864,education,bad,'Critical/other credits existing',Skilled
24,female,own,7408,car,bad,'Existing paid',Self-employed
24,female,rent,11590,car,bad,'Critical/other credits existing','Unskilled- Resident'
23,male,rent,4110,furniture/equipment,bad,'No credits/all paid ',Skilled
44,male,rent,3384,furniture/equipment,bad,'Critical/other credits existing',Self-employed
23,female,own,2101,radio/TV,good,'Existing paid','Unskilled- Resident'
24,female,rent,1275,'domestic appliances',bad,'Existing paid',Skilled
28,male,own,4169,furniture/equipment,good,'Existing paid',Skilled
31,male,own,1521,furniture/equipment,good,'Existing paid','Unskilled- Resident'
24,female,free,5743,education,good,'Critical/other credits existing',Skilled
26,female,rent,3599,furniture/equipment,good,'Existing paid','Unskilled- Resident'
25,male,rent,3213,radio/TV,good,'Existing paid',Skilled
33,male,own,4439,business,good,'Existing paid',Self-employed
37,male,own,3949,car,good,'Existing paid','Unskilled- Resident'
43,female,own,1459,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
23,male,own,882,radio/TV,good,'Critical/other credits existing',Skilled
23,female,rent,3758,radio/TV,good,'Existing paid','Unskilled- Non resident'
34,male,own,1743,business,good,'Delayed previously','Unskilled- Resident'
32,male,free,1136,education,bad,'Critical/other credits existing',Skilled
23,female,rent,1236,'domestic appliances',good,'Existing paid',Skilled
29,female,own,959,furniture/equipment,bad,'Existing paid',Skilled
38,male,own,3229,car,good,'Critical/other credits existing',Self-employed
28,male,rent,6199,radio/TV,bad,'No credits/all paid ',Skilled
46,male,free,727,education,good,'Existing paid',Skilled
23,male,own,1246,car,bad,'Existing paid','Unskilled- Resident'
49,male,own,2331,radio/TV,good,'Critical/other credits existing',Skilled
26,male,own,4463,radio/TV,bad,'Delayed previously',Self-employed
28,male,own,776,radio/TV,good,'Existing paid',Skilled
23,female,rent,2406,furniture/equipment,bad,'Existing paid',Skilled
61,male,free,1239,education,good,'Existing paid',Skilled
37,male,own,3399,radio/TV,good,'Existing paid',Self-employed
36,female,own,2247,car,good,'Delayed previously',Skilled
21,male,rent,1766,furniture/equipment,good,'Existing paid',Skilled
25,male,own,2473,furniture/equipment,bad,'Existing paid','Unskilled- Non resident'
36,male,own,1542,business,good,'Existing paid',Skilled
27,male,own,3850,car,good,'Critical/other credits existing',Skilled
22,female,rent,3650,furniture/equipment,good,'Existing paid',Skilled
42,male,own,3446,furniture/equipment,bad,'Existing paid',Skilled
40,female,rent,3001,furniture/equipment,good,'Existing paid',Skilled
36,male,own,3079,car,good,'Existing paid',Skilled
33,male,own,6070,radio/TV,good,'Critical/other credits existing',Skilled
23,female,rent,2146,furniture/equipment,good,'Critical/other credits existing',Skilled
63,male,free,13756,car,good,'Critical/other credits existing',Self-employed
60,female,free,14782,vacation/others,bad,'All paid',Self-employed
37,female,rent,7685,business,bad,'All paid',Skilled
34,male,own,2320,radio/TV,good,'Delayed previously',Skilled
36,male,free,846,radio/TV,good,'Delayed previously',Skilled
57,male,free,14318,car,bad,'Existing paid',Self-employed
52,female,own,362,car,good,'Critical/other credits existing','Unskilled- Resident'
39,male,own,2212,furniture/equipment,good,'Existing paid',Skilled
38,female,free,12976,car,bad,'Existing paid',Self-employed
25,female,rent,1283,car,good,'Existing paid',Skilled
26,male,own,1330,car,good,'Existing paid',Skilled
26,male,own,4272,business,good,'Delayed previously','Unskilled- Resident'
25,female,own,2238,radio/TV,good,'Critical/other credits existing',Skilled
21,female,rent,1126,radio/TV,good,'Existing paid',Skilled
40,male,own,7374,furniture/equipment,good,'Critical/other credits existing',Self-employed
27,male,own,2326,business,good,'Critical/other credits existing',Skilled
27,female,own,1449,business,good,'Existing paid',Skilled
30,male,own,1820,car,good,'Existing paid',Self-employed
19,female,rent,983,furniture/equipment,good,'Existing paid','Unskilled- Resident'
39,male,free,3249,car,good,'Existing paid',Self-employed
31,female,own,1957,radio/TV,good,'Critical/other credits existing',Skilled
31,male,own,2406,furniture/equipment,good,'Critical/other credits existing',Self-employed
32,male,rent,11760,education,good,'Delayed previously',Skilled
55,female,free,2578,furniture/equipment,good,'Existing paid',Self-employed
46,male,own,2348,furniture/equipment,good,'Critical/other credits existing',Skilled
46,male,rent,1223,car,bad,'Existing paid',Skilled
43,female,own,1516,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
39,male,own,1473,radio/TV,good,'Existing paid',Skilled
28,male,own,1887,business,good,'Critical/other credits existing',Skilled
27,male,own,8648,business,bad,'Delayed previously',Skilled
27,male,own,802,car,good,'Delayed previously','Unskilled- Resident'
43,male,own,2899,car,good,'Delayed previously',Skilled
22,male,own,2039,radio/TV,bad,'Existing paid',Skilled
43,male,own,2197,car,good,'Critical/other credits existing',Skilled
27,male,own,1053,radio/TV,good,'Existing paid',Skilled
26,male,own,3235,radio/TV,good,'Existing paid',Self-employed
28,male,own,939,car,bad,'Critical/other credits existing',Skilled
20,female,own,1967,radio/TV,good,'Existing paid',Skilled
35,male,own,7253,car,good,'Critical/other credits existing',Self-employed
42,male,own,2292,business,bad,'Critical/other credits existing',Self-employed
40,male,rent,1597,car,good,'Existing paid','Unskilled- Resident'
35,female,own,1381,car,bad,'Existing paid',Skilled
35,male,own,5842,car,good,'Critical/other credits existing',Skilled
33,male,own,2579,car,bad,'Existing paid','Unskilled- Resident'
23,female,rent,8471,education,good,'Delayed previously',Skilled
31,female,own,2782,car,good,'Existing paid',Self-employed
33,female,own,1042,car,bad,'Existing paid',Skilled
20,female,rent,3186,car,good,'Existing paid',Skilled
30,male,own,2028,car,good,'Existing paid',Skilled
47,male,own,958,car,good,'Critical/other credits existing','Unskilled- Resident'
34,male,own,1591,furniture/equipment,good,'Delayed previously',Self-employed
25,female,own,2762,furniture/equipment,bad,'Existing paid',Skilled
21,male,rent,2779,car,good,'Existing paid',Skilled
29,male,own,2743,radio/TV,good,'Critical/other credits existing',Skilled
46,male,own,1149,radio/TV,good,'Critical/other credits existing',Skilled
20,male,own,1313,furniture/equipment,good,'Existing paid',Skilled
55,female,free,1190,repairs,bad,'Critical/other credits existing','Unskilled- Non resident'
74,male,own,3448,business,good,'Existing paid','Unskilled- Resident'
29,male,own,11328,vacation/others,bad,'Existing paid',Self-employed
36,male,free,1872,furniture/equipment,good,'Critical/other credits existing',Self-employed
33,male,own,2058,repairs,good,'Critical/other credits existing',Skilled
25,male,own,2136,furniture/equipment,good,'Existing paid',Skilled
25,male,own,1484,radio/TV,bad,'Existing paid',Skilled
23,male,rent,660,repairs,good,'Existing paid','Unskilled- Resident'
37,female,own,1287,car,good,'Critical/other credits existing',Skilled
65,male,own,3394,repairs,good,'Critical/other credits existing','Unskilled- Non resident'
